,Data,Cum dec,Actual Label,ECG decision,mlp decision
636,"BPM                       205.479452
EGM Mean RV                 1.833891
EGM STD RV                  1.147858
EGM Skewness RV             0.417564
EGM Kurtosis RV            -1.405569
R-R Interval RV           292.000000
Per Mean                   69.248512
Per STD                     0.192424
Per Skewness               -0.200012
Per Kurtosis               -0.347779
Current Perfusion Grad      1.857160
Quality of Perfusion        2.389493
Perfusion Amplitude        -0.578122
Name: 636, dtype: float64",no-shock,VVI,no-shock,[1.]
637,"BPM                       204.778157
EGM Mean RV                 1.702182
EGM STD RV                  1.086165
EGM Skewness RV             0.600351
EGM Kurtosis RV            -1.004423
R-R Interval RV           293.000000
Per Mean                   69.264604
Per STD                     0.931460
Per Skewness                0.424564
Per Kurtosis               -1.448940
Current Perfusion Grad      5.934340
Quality of Perfusion        2.363767
Perfusion Amplitude         0.731846
Name: 637, dtype: float64",no-shock,VVI,no-shock,[1.]
638,"BPM                       204.081633
EGM Mean RV                 1.362859
EGM STD RV                  0.801835
EGM Skewness RV             0.672201
EGM Kurtosis RV            -0.782998
R-R Interval RV           294.000000
Per Mean                   71.773368
Per STD                     0.897698
Per Skewness               -0.179485
Per Kurtosis               -1.541963
Current Perfusion Grad      7.028122
Quality of Perfusion        2.309077
Perfusion Amplitude         0.974779
Name: 638, dtype: float64",no-shock,VVI,no-shock,[1.]
639,"BPM                       205.479452
EGM Mean RV                 1.198516
EGM STD RV                  0.554805
EGM Skewness RV             0.507932
EGM Kurtosis RV            -1.203962
R-R Interval RV           292.000000
Per Mean                   72.431166
Per STD                     0.560507
Per Skewness                0.151376
Per Kurtosis               -1.445464
Current Perfusion Grad      5.793521
Quality of Perfusion        2.310365
Perfusion Amplitude         0.171518
Name: 639, dtype: float64",no-shock,VVI,no-shock,[1.]
640,"BPM                       205.479452
EGM Mean RV                 1.243513
EGM STD RV                  0.568008
EGM Skewness RV             0.541098
EGM Kurtosis RV            -1.186740
R-R Interval RV           292.000000
Per Mean                   71.528249
Per STD                     0.810401
Per Skewness               -0.095993
Per Kurtosis               -1.664209
Current Perfusion Grad      7.108594
Quality of Perfusion        2.332555
Perfusion Amplitude         0.612854
Name: 640, dtype: float64",no-shock,VVI,no-shock,[1.]
641,"BPM                       205.479452
EGM Mean RV                 1.387785
EGM STD RV                  0.720671
EGM Skewness RV             0.643848
EGM Kurtosis RV            -0.982698
R-R Interval RV           292.000000
Per Mean                   72.293864
Per STD                     1.966886
Per Skewness                0.043219
Per Kurtosis               -1.669973
Current Perfusion Grad     11.097788
Quality of Perfusion        2.367205
Perfusion Amplitude         1.648280
Name: 641, dtype: float64",no-shock,VVI,no-shock,[1.]
642,"BPM                       204.778157
EGM Mean RV                 1.580855
EGM STD RV                  0.935369
EGM Skewness RV             0.412379
EGM Kurtosis RV            -1.386483
R-R Interval RV           293.000000
Per Mean                   74.626381
Per STD                     1.645694
Per Skewness                0.048099
Per Kurtosis               -1.647386
Current Perfusion Grad      9.128912
Quality of Perfusion        2.539289
Perfusion Amplitude         1.485918
Name: 642, dtype: float64",no-shock,VVI,no-shock,[1.]
643,"BPM                       205.479452
EGM Mean RV                 1.575281
EGM STD RV                  0.948878
EGM Skewness RV             0.460985
EGM Kurtosis RV            -1.284382
R-R Interval RV           292.000000
Per Mean                   74.632535
Per STD                     0.376726
Per Skewness                0.108170
Per Kurtosis               -1.379379
Current Perfusion Grad      3.964074
Quality of Perfusion        2.619640
Perfusion Amplitude        -0.366772
Name: 643, dtype: float64",no-shock,VVI,no-shock,[1.]
644,"BPM                       204.081633
EGM Mean RV                 1.389433
EGM STD RV                  0.821066
EGM Skewness RV             0.543911
EGM Kurtosis RV            -1.057606
R-R Interval RV           294.000000
Per Mean                   71.615555
Per STD                     0.880555
Per Skewness                0.945166
Per Kurtosis               -0.545490
Current Perfusion Grad      6.543275
Quality of Perfusion        2.706754
Perfusion Amplitude         0.702470
Name: 644, dtype: float64",no-shock,VVI,no-shock,[1.]
645,"BPM                       205.479452
EGM Mean RV                 1.332313
EGM STD RV                  0.687736
EGM Skewness RV             0.392311
EGM Kurtosis RV            -1.321345
R-R Interval RV           292.000000
Per Mean                   70.838632
Per STD                     1.040059
Per Skewness                0.205570
Per Kurtosis               -1.085485
Current Perfusion Grad      6.390963
Quality of Perfusion        2.748397
Perfusion Amplitude         1.181556
Name: 645, dtype: float64",no-shock,VVI,no-shock,[1.]
646,"BPM                       205.479452
EGM Mean RV                 1.421480
EGM STD RV                  0.797503
EGM Skewness RV             0.443246
EGM Kurtosis RV            -1.332903
R-R Interval RV           292.000000
Per Mean                   70.802222
Per STD                     1.459021
Per Skewness               -0.056289
Per Kurtosis               -1.181810
Current Perfusion Grad      9.682918
Quality of Perfusion        2.769671
Perfusion Amplitude         1.560347
Name: 646, dtype: float64",no-shock,VVI,no-shock,[1.]
647,"BPM                       206.185567
EGM Mean RV                 1.667248
EGM STD RV                  0.990426
EGM Skewness RV             0.497460
EGM Kurtosis RV            -1.205658
R-R Interval RV           291.000000
Per Mean                   70.810187
Per STD                     0.911713
Per Skewness               -0.278176
Per Kurtosis               -0.815987
Current Perfusion Grad      5.852941
Quality of Perfusion        2.678193
Perfusion Amplitude         1.050831
Name: 647, dtype: float64",no-shock,VVI,no-shock,[1.]
648,"BPM                       204.778157
EGM Mean RV                 1.844686
EGM STD RV                  1.154191
EGM Skewness RV             0.408348
EGM Kurtosis RV            -1.402245
R-R Interval RV           293.000000
Per Mean                   70.076196
Per STD                     0.966579
Per Skewness               -0.102629
Per Kurtosis               -1.333136
Current Perfusion Grad      5.925983
Quality of Perfusion        2.574772
Perfusion Amplitude         1.063321
Name: 648, dtype: float64",no-shock,VVI,no-shock,[1.]
649,"BPM                       204.778157
EGM Mean RV                 1.683529
EGM STD RV                  1.079844
EGM Skewness RV             0.562485
EGM Kurtosis RV            -1.061866
R-R Interval RV           293.000000
Per Mean                   68.419281
Per STD                     1.695315
Per Skewness                0.487170
Per Kurtosis               -1.246125
Current Perfusion Grad     11.304126
Quality of Perfusion        2.513976
Perfusion Amplitude         1.568089
Name: 649, dtype: float64",no-shock,VVI,no-shock,[1.]
650,"BPM                       204.778157
EGM Mean RV                 1.392553
EGM STD RV                  0.821467
EGM Skewness RV             0.551773
EGM Kurtosis RV            -1.046655
R-R Interval RV           293.000000
Per Mean                   69.343791
Per STD                     2.071807
Per Skewness                0.200390
Per Kurtosis               -1.424661
Current Perfusion Grad     12.570836
Quality of Perfusion        2.592717
Perfusion Amplitude         1.828008
Name: 650, dtype: float64",no-shock,VVI,no-shock,[1.]
651,"BPM                       205.479452
EGM Mean RV                 1.317972
EGM STD RV                  0.708393
EGM Skewness RV             0.396617
EGM Kurtosis RV            -1.354547
R-R Interval RV           292.000000
Per Mean                   68.951162
Per STD                     0.943895
Per Skewness                0.326036
Per Kurtosis               -1.366577
Current Perfusion Grad      6.777153
Quality of Perfusion        2.568402
Perfusion Amplitude         0.992374
Name: 651, dtype: float64",no-shock,VVI,no-shock,[1.]
652,"BPM                       205.479452
EGM Mean RV                 1.480661
EGM STD RV                  0.825582
EGM Skewness RV             0.472935
EGM Kurtosis RV            -1.241291
R-R Interval RV           292.000000
Per Mean                   68.326824
Per STD                     0.633207
Per Skewness                0.561580
Per Kurtosis               -0.959229
Current Perfusion Grad      4.452783
Quality of Perfusion        2.675019
Perfusion Amplitude         0.587151
Name: 652, dtype: float64",no-shock,VVI,no-shock,[1.]
653,"BPM                       205.479452
EGM Mean RV                 1.659073
EGM STD RV                  0.974064
EGM Skewness RV             0.441590
EGM Kurtosis RV            -1.365436
R-R Interval RV           292.000000
Per Mean                   67.684068
Per STD                     0.329615
Per Skewness                0.175673
Per Kurtosis               -0.747394
Current Perfusion Grad      1.642762
Quality of Perfusion        2.609430
Perfusion Amplitude        -0.877425
Name: 653, dtype: float64",no-shock,VVI,no-shock,[1.]
654,"BPM                       204.778157
EGM Mean RV                 1.682936
EGM STD RV                  1.029145
EGM Skewness RV             0.430273
EGM Kurtosis RV            -1.346160
R-R Interval RV           293.000000
Per Mean                   65.463039
Per STD                     0.674206
Per Skewness               -0.224121
Per Kurtosis               -1.057683
Current Perfusion Grad      0.000000
Quality of Perfusion        2.067161
Perfusion Amplitude         0.000000
Name: 654, dtype: float64",no-shock,VVI,no-shock,[1.]
655,"BPM                       204.778157
EGM Mean RV                 1.517974
EGM STD RV                  0.903462
EGM Skewness RV             0.575565
EGM Kurtosis RV            -1.007268
R-R Interval RV           293.000000
Per Mean                   65.366327
Per STD                     0.657695
Per Skewness               -0.352633
Per Kurtosis               -1.065355
Current Perfusion Grad     10.443466
Quality of Perfusion        2.150996
Perfusion Amplitude         0.733713
Name: 655, dtype: float64",no-shock,VVI,no-shock,[1.]
656,"BPM                       204.778157
EGM Mean RV                 1.265628
EGM STD RV                  0.700558
EGM Skewness RV             0.498585
EGM Kurtosis RV            -1.170153
R-R Interval RV           293.000000
Per Mean                   66.627005
Per STD                     0.623984
Per Skewness               -0.189048
Per Kurtosis               -1.133671
Current Perfusion Grad      5.930687
Quality of Perfusion        2.335848
Perfusion Amplitude         0.402722
Name: 656, dtype: float64",no-shock,VVI,no-shock,[1.]
657,"BPM                       205.479452
EGM Mean RV                 1.293136
EGM STD RV                  0.697395
EGM Skewness RV             0.434810
EGM Kurtosis RV            -1.285576
R-R Interval RV           292.000000
Per Mean                   68.046205
Per STD                     0.711510
Per Skewness               -0.084213
Per Kurtosis               -1.167249
Current Perfusion Grad      5.661582
Quality of Perfusion        2.331904
Perfusion Amplitude         0.516052
Name: 657, dtype: float64",no-shock,VVI,no-shock,[1.]
658,"BPM                       205.479452
EGM Mean RV                 1.595879
EGM STD RV                  0.923050
EGM Skewness RV             0.561329
EGM Kurtosis RV            -1.026249
R-R Interval RV           292.000000
Per Mean                   68.934137
Per STD                     0.887027
Per Skewness               -0.632010
Per Kurtosis               -0.566468
Current Perfusion Grad      3.281962
Quality of Perfusion        2.174620
Perfusion Amplitude         0.042730
Name: 658, dtype: float64",no-shock,VVI,no-shock,[1.]
659,"BPM                       205.479452
EGM Mean RV                 1.810302
EGM STD RV                  1.111021
EGM Skewness RV             0.402650
EGM Kurtosis RV            -1.394647
R-R Interval RV           292.000000
Per Mean                   67.717622
Per STD                     0.978272
Per Skewness               -0.630254
Per Kurtosis               -1.020557
Current Perfusion Grad      0.434084
Quality of Perfusion        2.264672
Perfusion Amplitude        -1.975825
Name: 659, dtype: float64",no-shock,VVI,no-shock,[1.]
660,"BPM                       205.479452
EGM Mean RV                 1.773789
EGM STD RV                  1.128679
EGM Skewness RV             0.423417
EGM Kurtosis RV            -1.352920
R-R Interval RV           292.000000
Per Mean                   67.148281
Per STD                     0.872628
Per Skewness               -0.759308
Per Kurtosis               -0.698213
Current Perfusion Grad      2.918349
Quality of Perfusion        2.357946
Perfusion Amplitude        -0.119873
Name: 660, dtype: float64",no-shock,VVI,no-shock,[1.]
661,"BPM                       204.081633
EGM Mean RV                 1.609039
EGM STD RV                  0.995549
EGM Skewness RV             0.549202
EGM Kurtosis RV            -1.067895
R-R Interval RV           294.000000
Per Mean                   66.143465
Per STD                     1.627772
Per Skewness               -0.683597
Per Kurtosis               -1.061304
Current Perfusion Grad      0.157779
Quality of Perfusion        2.477160
Perfusion Amplitude        -2.534407
Name: 661, dtype: float64",no-shock,VVI,no-shock,[1.]
662,"BPM                       206.185567
EGM Mean RV                 1.452943
EGM STD RV                  0.798134
EGM Skewness RV             0.430434
EGM Kurtosis RV            -1.356389
R-R Interval RV           291.000000
Per Mean                   65.111149
Per STD                     1.407873
Per Skewness               -0.761747
Per Kurtosis               -0.901792
Current Perfusion Grad      0.032678
Quality of Perfusion        2.504590
Perfusion Amplitude        -4.108920
Name: 662, dtype: float64",no-shock,VVI,no-shock,[1.]
663,"BPM                       204.778157
EGM Mean RV                 1.480531
EGM STD RV                  0.833221
EGM Skewness RV             0.423617
EGM Kurtosis RV            -1.373159
R-R Interval RV           293.000000
Per Mean                   65.387758
Per STD                     0.663665
Per Skewness               -0.350630
Per Kurtosis               -0.924745
Current Perfusion Grad      3.281981
Quality of Perfusion        2.528829
Perfusion Amplitude        -0.143991
Name: 663, dtype: float64",no-shock,VVI,no-shock,[1.]
664,"BPM                       205.479452
EGM Mean RV                 1.648335
EGM STD RV                  0.979622
EGM Skewness RV             0.481207
EGM Kurtosis RV            -1.258981
R-R Interval RV           292.000000
Per Mean                   66.272089
Per STD                     0.710365
Per Skewness                0.114692
Per Kurtosis               -1.475064
Current Perfusion Grad      3.735637
Quality of Perfusion        2.632317
Perfusion Amplitude         0.188881
Name: 664, dtype: float64",no-shock,VVI,no-shock,[1.]
665,"BPM                       204.778157
EGM Mean RV                 1.790072
EGM STD RV                  1.096489
EGM Skewness RV             0.422599
EGM Kurtosis RV            -1.367158
R-R Interval RV           293.000000
Per Mean                   68.912749
Per STD                     1.702869
Per Skewness               -0.210822
Per Kurtosis               -1.607002
Current Perfusion Grad     11.813113
Quality of Perfusion        2.644433
Perfusion Amplitude         1.395400
Name: 665, dtype: float64",no-shock,VVI,no-shock,[1.]
666,"BPM                       204.778157
EGM Mean RV                 1.608273
EGM STD RV                  0.983217
EGM Skewness RV             0.620848
EGM Kurtosis RV            -0.922682
R-R Interval RV           293.000000
Per Mean                   71.510412
Per STD                     2.006466
Per Skewness                0.006913
Per Kurtosis               -1.712006
Current Perfusion Grad      9.673282
Quality of Perfusion        2.471866
Perfusion Amplitude         1.425289
Name: 666, dtype: float64",no-shock,VVI,no-shock,[1.]
667,"BPM                       204.778157
EGM Mean RV                 1.300978
EGM STD RV                  0.706833
EGM Skewness RV             0.535820
EGM Kurtosis RV            -1.083624
R-R Interval RV           293.000000
Per Mean                   73.899774
Per STD                     2.151274
Per Skewness                0.069859
Per Kurtosis               -1.686551
Current Perfusion Grad     12.337343
Quality of Perfusion        2.250311
Perfusion Amplitude         1.658082
Name: 667, dtype: float64",no-shock,VVI,no-shock,[1.]
668,"BPM                       204.778157
EGM Mean RV                 1.226067
EGM STD RV                  0.593178
EGM Skewness RV             0.432807
EGM Kurtosis RV            -1.256006
R-R Interval RV           293.000000
Per Mean                   75.492234
Per STD                     1.954980
Per Skewness                0.034954
Per Kurtosis               -1.678728
Current Perfusion Grad     10.987241
Quality of Perfusion        2.050469
Perfusion Amplitude         1.611246
Name: 668, dtype: float64",no-shock,VVI,no-shock,[1.]
669,"BPM                       206.185567
EGM Mean RV                 1.354830
EGM STD RV                  0.612124
EGM Skewness RV             0.627396
EGM Kurtosis RV            -1.058463
R-R Interval RV           291.000000
Per Mean                   74.380715
Per STD                     0.983619
Per Skewness                0.460278
Per Kurtosis               -1.226054
Current Perfusion Grad      5.217996
Quality of Perfusion        2.163749
Perfusion Amplitude         0.545818
Name: 669, dtype: float64",no-shock,VVI,no-shock,[1.]
670,"BPM                       204.778157
EGM Mean RV                 1.350361
EGM STD RV                  0.707943
EGM Skewness RV             0.531202
EGM Kurtosis RV            -1.174565
R-R Interval RV           293.000000
Per Mean                   73.775643
Per STD                     1.443269
Per Skewness                0.414143
Per Kurtosis               -1.431147
Current Perfusion Grad      8.862869
Quality of Perfusion        2.255457
Perfusion Amplitude         1.277159
Name: 670, dtype: float64",no-shock,VVI,no-shock,[1.]
671,"BPM                       205.479452
EGM Mean RV                 1.430026
EGM STD RV                  0.749129
EGM Skewness RV             0.571688
EGM Kurtosis RV            -1.131422
R-R Interval RV           292.000000
Per Mean                   73.082864
Per STD                     0.481074
Per Skewness                0.228409
Per Kurtosis               -1.263520
Current Perfusion Grad      1.481257
Quality of Perfusion        2.203128
Perfusion Amplitude        -0.644492
Name: 671, dtype: float64",no-shock,VVI,no-shock,[1.]
672,"BPM                       205.479452
EGM Mean RV                 1.531019
EGM STD RV                  0.854646
EGM Skewness RV             0.464928
EGM Kurtosis RV            -1.304821
R-R Interval RV           292.000000
Per Mean                   70.587300
Per STD                     0.865742
Per Skewness                0.299743
Per Kurtosis               -1.287333
Current Perfusion Grad      0.077676
Quality of Perfusion        2.359704
Perfusion Amplitude        -3.253525
Name: 672, dtype: float64",no-shock,VVI,no-shock,[1.]
673,"BPM                       204.778157
EGM Mean RV                 1.472289
EGM STD RV                  0.800556
EGM Skewness RV             0.508575
EGM Kurtosis RV            -1.225283
R-R Interval RV           293.000000
Per Mean                   68.960188
Per STD                     0.515054
Per Skewness                0.240897
Per Kurtosis               -0.900938
Current Perfusion Grad      0.145576
Quality of Perfusion        2.459749
Perfusion Amplitude        -3.147969
Name: 673, dtype: float64",no-shock,VVI,no-shock,[1.]
674,"BPM                       204.778157
EGM Mean RV                 1.323052
EGM STD RV                  0.740379
EGM Skewness RV             0.535184
EGM Kurtosis RV            -1.123073
R-R Interval RV           293.000000
Per Mean                   69.611686
Per STD                     0.427662
Per Skewness                0.051737
Per Kurtosis               -0.528154
Current Perfusion Grad      0.277515
Quality of Perfusion        2.554416
Perfusion Amplitude        -2.135517
Name: 674, dtype: float64",no-shock,VVI,no-shock,[1.]
675,"BPM                       206.185567
EGM Mean RV                 1.286719
EGM STD RV                  0.718564
EGM Skewness RV             0.442102
EGM Kurtosis RV            -1.335081
R-R Interval RV           291.000000
Per Mean                   71.006404
Per STD                     0.734901
Per Skewness               -0.872285
Per Kurtosis               -0.322065
Current Perfusion Grad      3.337983
Quality of Perfusion        2.553557
Perfusion Amplitude        -0.032325
Name: 675, dtype: float64",no-shock,VVI,no-shock,[1.]
676,"BPM                       204.778157
EGM Mean RV                 1.508863
EGM STD RV                  0.904656
EGM Skewness RV             0.488126
EGM Kurtosis RV            -1.229567
R-R Interval RV           293.000000
Per Mean                   68.720482
Per STD                     1.296166
Per Skewness               -0.439690
Per Kurtosis               -1.222672
Current Perfusion Grad      0.058751
Quality of Perfusion        2.686963
Perfusion Amplitude        -3.543352
Name: 676, dtype: float64",no-shock,VVI,no-shock,[1.]
677,"BPM                       205.479452
EGM Mean RV                 1.762762
EGM STD RV                  1.106772
EGM Skewness RV             0.428432
EGM Kurtosis RV            -1.363855
R-R Interval RV           292.000000
Per Mean                   66.561033
Per STD                     0.261951
Per Skewness               -0.470346
Per Kurtosis               -0.360391
Current Perfusion Grad      0.927155
Quality of Perfusion        2.771137
Perfusion Amplitude        -1.074501
Name: 677, dtype: float64",no-shock,VVI,no-shock,[1.]
678,"BPM                       205.479452
EGM Mean RV                 1.859399
EGM STD RV                  1.175195
EGM Skewness RV             0.430719
EGM Kurtosis RV            -1.349279
R-R Interval RV           292.000000
Per Mean                   66.366640
Per STD                     0.533721
Per Skewness                0.702758
Per Kurtosis               -1.031120
Current Perfusion Grad      3.111911
Quality of Perfusion        2.803509
Perfusion Amplitude         0.444891
Name: 678, dtype: float64",no-shock,VVI,no-shock,[1.]
679,"BPM                       204.081633
EGM Mean RV                 1.620721
EGM STD RV                  1.083462
EGM Skewness RV             0.567107
EGM Kurtosis RV            -1.062947
R-R Interval RV           294.000000
Per Mean                   66.834328
Per STD                     0.339409
Per Skewness               -0.482519
Per Kurtosis               -1.117444
Current Perfusion Grad      2.128553
Quality of Perfusion        2.771797
Perfusion Amplitude        -1.041033
Name: 679, dtype: float64",no-shock,VVI,no-shock,[1.]
680,"BPM                       204.778157
EGM Mean RV                 1.383075
EGM STD RV                  0.813370
EGM Skewness RV             0.473653
EGM Kurtosis RV            -1.196899
R-R Interval RV           293.000000
Per Mean                   66.464736
Per STD                     0.550333
Per Skewness               -0.200308
Per Kurtosis               -1.293391
Current Perfusion Grad      0.720595
Quality of Perfusion        2.728500
Perfusion Amplitude        -1.850123
Name: 680, dtype: float64",no-shock,VVI,no-shock,[1.]
681,"BPM                       204.778157
EGM Mean RV                 1.314292
EGM STD RV                  0.707430
EGM Skewness RV             0.451607
EGM Kurtosis RV            -1.325789
R-R Interval RV           293.000000
Per Mean                   67.658622
Per STD                     1.068185
Per Skewness                0.608241
Per Kurtosis               -1.240759
Current Perfusion Grad      7.657743
Quality of Perfusion        2.842934
Perfusion Amplitude         0.994189
Name: 681, dtype: float64",no-shock,VVI,no-shock,[1.]
682,"BPM                       205.479452
EGM Mean RV                 1.332150
EGM STD RV                  0.707450
EGM Skewness RV             0.441502
EGM Kurtosis RV            -1.319542
R-R Interval RV           292.000000
Per Mean                   70.285137
Per STD                     0.821292
Per Skewness                0.639534
Per Kurtosis               -1.030875
Current Perfusion Grad      5.075627
Quality of Perfusion        2.769967
Perfusion Amplitude         0.533754
Name: 682, dtype: float64",no-shock,VVI,no-shock,[1.]
683,"BPM                       204.778157
EGM Mean RV                 1.450151
EGM STD RV                  0.871052
EGM Skewness RV             0.444598
EGM Kurtosis RV            -1.281850
R-R Interval RV           293.000000
Per Mean                   71.135104
Per STD                     0.408497
Per Skewness                0.986882
Per Kurtosis               -0.233773
Current Perfusion Grad      0.011653
Quality of Perfusion        2.725097
Perfusion Amplitude        -5.812541
Name: 683, dtype: float64",no-shock,VVI,no-shock,[1.]
684,"BPM                       205.479452
EGM Mean RV                 1.590761
EGM STD RV                  0.985635
EGM Skewness RV             0.413472
EGM Kurtosis RV            -1.389328
R-R Interval RV           292.000000
Per Mean                   71.310024
Per STD                     0.552208
Per Skewness               -0.058343
Per Kurtosis               -1.713823
Current Perfusion Grad      5.393986
Quality of Perfusion        2.741930
Perfusion Amplitude         0.321040
Name: 684, dtype: float64",no-shock,VVI,no-shock,[1.]
685,"BPM                       205.479452
EGM Mean RV                 1.674899
EGM STD RV                  1.035352
EGM Skewness RV             0.422550
EGM Kurtosis RV            -1.386217
R-R Interval RV           292.000000
Per Mean                   72.425095
Per STD                     0.834012
Per Skewness               -0.196786
Per Kurtosis               -1.647841
Current Perfusion Grad      6.258855
Quality of Perfusion        2.653217
Perfusion Amplitude         0.785491
Name: 685, dtype: float64",no-shock,VVI,no-shock,[1.]
686,"BPM                       204.081633
EGM Mean RV                 1.605791
EGM STD RV                  1.026612
EGM Skewness RV             0.590555
EGM Kurtosis RV            -1.015216
R-R Interval RV           294.000000
Per Mean                   71.758747
Per STD                     0.219336
Per Skewness                0.127245
Per Kurtosis               -0.801071
Current Perfusion Grad      0.064586
Quality of Perfusion        2.625595
Perfusion Amplitude        -4.485403
Name: 686, dtype: float64",no-shock,VVI,no-shock,[1.]
687,"BPM                       205.479452
EGM Mean RV                 1.484804
EGM STD RV                  0.873306
EGM Skewness RV             0.405486
EGM Kurtosis RV            -1.399541
R-R Interval RV           292.000000
Per Mean                   70.256337
Per STD                     0.540158
Per Skewness                0.693935
Per Kurtosis               -0.603733
Current Perfusion Grad      2.903143
Quality of Perfusion        2.374780
Perfusion Amplitude        -0.196565
Name: 687, dtype: float64",no-shock,VVI,no-shock,[1.]
688,"BPM                       205.479452
EGM Mean RV                 1.525130
EGM STD RV                  0.884085
EGM Skewness RV             0.432133
EGM Kurtosis RV            -1.302109
R-R Interval RV           292.000000
Per Mean                   71.004597
Per STD                     0.984779
Per Skewness               -0.211656
Per Kurtosis               -1.333204
Current Perfusion Grad      6.880146
Quality of Perfusion        2.448270
Perfusion Amplitude         1.143332
Name: 688, dtype: float64",no-shock,VVI,no-shock,[1.]
689,"BPM                       204.778157
EGM Mean RV                 1.441030
EGM STD RV                  0.844489
EGM Skewness RV             0.409505
EGM Kurtosis RV            -1.367424
R-R Interval RV           293.000000
Per Mean                   71.737790
Per STD                     1.096006
Per Skewness                0.162088
Per Kurtosis               -1.276151
Current Perfusion Grad      6.980518
Quality of Perfusion        2.347814
Perfusion Amplitude         1.260237
Name: 689, dtype: float64",no-shock,VVI,no-shock,[1.]
690,"BPM                       205.479452
EGM Mean RV                 1.421129
EGM STD RV                  0.837131
EGM Skewness RV             0.399033
EGM Kurtosis RV            -1.379343
R-R Interval RV           292.000000
Per Mean                   72.426114
Per STD                     0.190409
Per Skewness               -0.304358
Per Kurtosis                0.125735
Current Perfusion Grad      1.912793
Quality of Perfusion        2.318906
Perfusion Amplitude        -0.160612
Name: 690, dtype: float64",no-shock,VVI,no-shock,[1.]
691,"BPM                       205.479452
EGM Mean RV                 1.493842
EGM STD RV                  0.857304
EGM Skewness RV             0.422249
EGM Kurtosis RV            -1.398126
R-R Interval RV           292.000000
Per Mean                   70.105285
Per STD                     0.526926
Per Skewness                0.448077
Per Kurtosis               -1.226990
Current Perfusion Grad      0.066715
Quality of Perfusion        2.249666
Perfusion Amplitude        -3.870754
Name: 691, dtype: float64",no-shock,VVI,no-shock,[1.]
692,"BPM                       205.479452
EGM Mean RV                 1.685650
EGM STD RV                  0.990717
EGM Skewness RV             0.467601
EGM Kurtosis RV            -1.272054
R-R Interval RV           292.000000
Per Mean                   69.583166
Per STD                     1.090832
Per Skewness                0.239535
Per Kurtosis               -1.308605
Current Perfusion Grad      6.644584
Quality of Perfusion        2.434049
Perfusion Amplitude         1.206969
Name: 692, dtype: float64",no-shock,VVI,no-shock,[1.]
693,"BPM                       204.778157
EGM Mean RV                 1.707205
EGM STD RV                  1.067824
EGM Skewness RV             0.502659
EGM Kurtosis RV            -1.210199
R-R Interval RV           293.000000
Per Mean                   71.289952
Per STD                     0.903917
Per Skewness               -0.358993
Per Kurtosis               -1.315401
Current Perfusion Grad      6.173015
Quality of Perfusion        2.677396
Perfusion Amplitude         0.990708
Name: 693, dtype: float64",no-shock,VVI,no-shock,[1.]
694,"BPM                       205.479452
EGM Mean RV                 1.600925
EGM STD RV                  0.976209
EGM Skewness RV             0.392828
EGM Kurtosis RV            -1.405412
R-R Interval RV           292.000000
Per Mean                   71.741187
Per STD                     1.360416
Per Skewness                0.233657
Per Kurtosis               -1.530611
Current Perfusion Grad      8.335742
Quality of Perfusion        2.714572
Perfusion Amplitude         1.232152
Name: 694, dtype: float64",no-shock,VVI,no-shock,[1.]
695,"BPM                       204.778157
EGM Mean RV                 1.443723
EGM STD RV                  0.890232
EGM Skewness RV             0.585754
EGM Kurtosis RV            -0.990333
R-R Interval RV           293.000000
Per Mean                   74.050782
Per STD                     1.240155
Per Skewness               -0.092718
Per Kurtosis               -1.527755
Current Perfusion Grad      8.156401
Quality of Perfusion        2.774431
Perfusion Amplitude         1.192858
Name: 695, dtype: float64",no-shock,VVI,no-shock,[1.]
696,"BPM                       204.778157
EGM Mean RV                 1.355929
EGM STD RV                  0.648575
EGM Skewness RV             0.455668
EGM Kurtosis RV            -1.314162
R-R Interval RV           293.000000
Per Mean                   74.458196
Per STD                     1.137845
Per Skewness               -0.008485
Per Kurtosis               -1.672797
Current Perfusion Grad      6.738554
Quality of Perfusion        2.720623
Perfusion Amplitude         0.999738
Name: 696, dtype: float64",no-shock,VVI,no-shock,[1.]
697,"BPM                       205.479452
EGM Mean RV                 1.299853
EGM STD RV                  0.705639
EGM Skewness RV             0.400413
EGM Kurtosis RV            -1.340178
R-R Interval RV           292.000000
Per Mean                   77.152005
Per STD                     2.292941
Per Skewness               -0.491316
Per Kurtosis               -1.316553
Current Perfusion Grad     15.672822
Quality of Perfusion        2.506218
Perfusion Amplitude         1.886088
Name: 697, dtype: float64",no-shock,VVI,no-shock,[1.]
698,"BPM                       205.479452
EGM Mean RV                 1.341181
EGM STD RV                  0.688117
EGM Skewness RV             0.458837
EGM Kurtosis RV            -1.295403
R-R Interval RV           292.000000
Per Mean                   78.798724
Per STD                     0.989774
Per Skewness               -0.574221
Per Kurtosis               -0.998859
Current Perfusion Grad      9.824893
Quality of Perfusion        2.398654
Perfusion Amplitude         1.120126
Name: 698, dtype: float64",no-shock,VVI,no-shock,[1.]
